CustomerID,purchase_cnt,item_cnt,recency,user_total,user_average,unique_products,average_interval,total_transactions,cancel_frequency,cancel_rate
12477,9,3620,22,13117.0,1457.0,192,0.93,9,8,0.89
12478,1,233,3,546.0,546.0,35,0.0,1,0,0.0
12479,3,348,3,423.0,141.0,30,0.21,3,4,1.33
12480,4,1685,28,2886.0,722.0,128,2.06,4,0,0.0
12481,11,3248,22,4998.0,454.0,149,1.63,11,1,0.09
12483,11,1084,17,1873.0,170.0,45,4.45,11,4,0.36
12484,6,2160,35,3893.0,649.0,255,0.87,6,4,0.67
12488,3,526,9,1245.0,415.0,45,1.23,3,0,0.0
12489,1,103,336,299.0,299.0,14,0.0,1,0,0.0
12490,10,3033,5,4860.0,486.0,130,1.37,10,0,0.0
12491,1,258,38,424.0,424.0,24,0.0,1,0,0.0
12492,2,190,63,227.0,114.0,18,2.47,2,0,0.0
12493,3,203,165,363.0,121.0,18,1.5,3,1,0.33
12494,13,682,9,995.0,77.0,62,4.58,13,6,0.46
12497,1,1231,81,953.0,953.0,13,0.0,1,0,0.0
12498,3,156,21,350.0,117.0,20,1.8,3,0,0.0
12500,12,2660,23,4023.0,335.0,32,5.79,12,3,0.25
12501,2,1714,315,1946.0,973.0,148,0.13,2,11,5.5
12502,5,794,95,2996.0,599.0,101,1.51,5,0,0.0
12504,4,48,18,60.0,15.0,5,0.85,4,6,1.5
12506,1,23,232,74.0,74.0,23,0.0,1,0,0.0
12507,4,874,134,1006.0,252.0,18,8.63,4,1,0.25
12508,2,271,26,398.0,199.0,57,0.03,2,0,0.0
12509,1,54,284,159.0,159.0,6,0.0,1,0,0.0
12510,2,347,142,815.0,408.0,28,6.07,2,0,0.0
12512,2,96,66,132.0,66.0,31,0.0,2,0,0.0
12513,2,453,84,533.0,267.0,34,0.82,2,1,0.5
12514,1,440,267,1018.0,1018.0,51,0.0,1,0,0.0
12515,1,128,353,279.0,279.0,15,0.0,1,0,0.0
12516,2,868,77,1186.0,593.0,19,4.43,2,0,0.0
12517,5,1328,28,2264.0,453.0,231,0.57,5,2,0.4
12518,5,1306,0,1841.0,368.0,83,0.92,5,0,0.0
12519,1,172,63,277.0,277.0,16,0.0,1,0,0.0
12520,6,1414,79,2295.0,383.0,120,1.3,6,3,0.5
12521,1,306,142,546.0,546.0,37,0.0,1,0,0.0
12522,2,192,39,157.0,79.0,10,1.33,2,0,0.0
12523,13,856,1,1656.0,127.0,83,3.1,13,4,0.31
12524,8,3669,9,3946.0,493.0,112,2.38,8,0,0.0
12526,3,624,0,1173.0,391.0,63,1.39,3,0,0.0
12527,3,233,81,331.0,110.0,17,15.19,3,0,0.0
12528,8,734,9,1634.0,204.0,49,3.42,8,3,0.38
12530,5,891,59,1462.0,292.0,50,4.37,5,2,0.4
12531,1,45,14,125.0,125.0,17,0.0,1,0,0.0
12532,1,151,30,314.0,314.0,15,0.0,1,0,0.0
12534,1,645,130,981.0,981.0,62,0.0,1,0,0.0
12535,2,219,91,716.0,358.0,28,2.85,2,0,0.0
12536,2,2672,7,4151.0,2076.0,259,0.19,2,9,4.5
12538,1,191,29,364.0,364.0,21,0.0,1,0,0.0
12539,4,2067,22,5568.0,1392.0,157,1.14,4,0,0.0
12540,19,6612,19,11489.0,605.0,277,0.72,19,3,0.16
12541,3,675,29,841.0,280.0,45,5.21,3,0,0.0
12544,2,130,29,300.0,150.0,18,0.33,2,1,0.5
12545,2,517,75,832.0,416.0,41,3.91,2,0,0.0
12546,3,612,46,1002.0,334.0,58,0.46,3,1,0.33
12547,2,132,197,152.0,76.0,6,16.4,2,0,0.0
12548,1,48,166,67.0,67.0,4,0.0,1,0,0.0
12550,1,564,79,825.0,825.0,56,0.0,1,0,0.0
12551,1,100,357,168.0,168.0,10,0.0,1,0,0.0
12552,1,85,39,318.0,318.0,19,0.0,1,0,0.0
12553,14,1901,8,3238.0,231.0,94,1.69,14,5,0.36
12556,2,355,50,600.0,300.0,100,0.85,2,0,0.0
12557,5,4384,16,11991.0,2398.0,15,11.03,5,0,0.0
12558,2,0,1,0.0,0.0,11,0.24,2,11,5.5
12559,3,279,310,500.0,167.0,20,0.4,3,1,0.33
12560,3,1066,5,1885.0,628.0,91,1.27,3,6,2.0
12561,1,177,302,239.0,239.0,16,0.0,1,0,0.0
12562,7,1757,8,3386.0,484.0,98,1.17,7,0,0.0
12564,1,130,261,403.0,403.0,20,0.0,1,0,0.0
12565,2,75,281,131.0,66.0,9,0.78,2,1,0.5
12566,2,261,72,293.0,147.0,18,0.72,2,1,0.5
12567,11,4045,22,8323.0,757.0,322,0.76,11,17,1.55
12569,33,1741,2,3129.0,95.0,91,1.5,33,1,0.03
12571,2,523,39,520.0,260.0,31,2.45,2,0,0.0
12572,3,444,8,897.0,299.0,52,0.71,3,2,0.67
12573,1,84,227,161.0,161.0,26,0.0,1,0,0.0
12574,1,59,315,182.0,182.0,10,0.0,1,0,0.0
12576,6,964,35,1307.0,218.0,72,3.03,6,1,0.17
12577,4,462,35,560.0,140.0,136,2.23,4,1,0.25
12578,4,1157,21,2361.0,590.0,111,2.7,4,6,1.5
12579,2,276,73,375.0,188.0,28,0.14,2,1,0.5
12580,1,236,246,380.0,380.0,23,0.0,1,0,0.0
12581,1,160,39,180.0,180.0,14,0.0,1,0,0.0
12582,2,296,238,351.0,176.0,20,2.58,2,0,0.0
12583,17,4978,2,6629.0,390.0,114,1.56,17,3,0.18
12584,18,351,3,1810.0,101.0,43,2.16,18,30,1.67
12585,4,1246,234,1767.0,442.0,76,1.23,4,10,2.5
12586,2,77,17,180.0,90.0,12,31.91,2,1,0.5
12587,1,50,7,104.0,104.0,3,0.0,1,0,0.0
12588,1,52,39,175.0,175.0,9,0.0,1,0,0.0
12589,2,302,28,575.0,288.0,28,3.59,2,0,0.0
12590,2,4278,190,9338.0,4669.0,67,0.29,2,2,1.0
12591,1,225,317,369.0,369.0,25,0.0,1,0,0.0
12592,2,288,92,402.0,201.0,10,8.07,2,0,0.0
12593,3,204,108,382.0,127.0,13,5.79,3,0,0.0
12594,9,1772,37,3208.0,356.0,49,2.49,9,0,0.0
12596,2,468,51,450.0,225.0,24,7.92,2,0,0.0
12597,5,2165,19,3067.0,613.0,183,1.18,5,8,1.6
12598,8,1928,9,2787.0,348.0,83,2.14,8,1,0.13
12599,7,948,29,889.0,127.0,31,5.04,7,0,0.0
12600,10,758,28,2311.0,231.0,31,6.4,10,0,0.0
12601,6,239,189,480.0,80.0,20,6.09,6,1,0.17
12602,1,162,58,153.0,153.0,12,0.0,1,0,0.0
12603,1,56,21,613.0,613.0,1,0.0,1,0,0.0
12604,2,200,79,236.0,118.0,14,13.0,2,0,0.0
12605,1,-4,365,-8.0,-8.0,3,0.0,1,3,3.0
12607,2,0,58,0.0,0.0,101,0.01,2,101,50.5
12609,3,639,78,965.0,322.0,56,4.29,3,0,0.0
12610,6,1018,22,1706.0,284.0,84,0.95,6,5,0.83
12611,1,846,52,1193.0,1193.0,65,0.0,1,0,0.0
12612,2,249,57,608.0,304.0,18,0.84,2,2,1.0
12613,5,1582,31,2967.0,593.0,123,1.45,5,10,2.0
12614,1,76,277,316.0,316.0,20,0.0,1,0,0.0
12615,4,1365,2,2093.0,523.0,81,1.65,4,0,0.0
12616,5,269,85,585.0,117.0,24,6.39,5,4,0.8
12617,1,210,29,353.0,353.0,39,0.0,1,0,0.0
12618,1,95,21,137.0,137.0,10,0.0,1,0,0.0
12619,11,3337,16,2909.0,264.0,48,2.74,11,4,0.36
12620,3,1179,14,1303.0,434.0,88,2.1,3,0,0.0
12621,23,7333,1,12334.0,536.0,260,0.78,23,7,0.3
12622,1,68,232,162.0,162.0,10,0.0,1,0,0.0
12623,1,189,276,269.0,269.0,17,0.0,1,0,0.0
12624,2,351,106,569.0,285.0,35,2.03,2,0,0.0
12625,3,1563,211,2362.0,787.0,73,1.22,3,4,1.33
12626,13,3313,23,5722.0,440.0,231,1.0,13,13,1.0
12627,6,2730,10,4083.0,681.0,161,0.57,6,0,0.0
12628,4,442,4,716.0,179.0,33,1.51,4,2,0.5
12630,2,542,9,1031.0,516.0,59,0.56,2,0,0.0
12631,1,232,57,481.0,481.0,30,0.0,1,0,0.0
12633,5,1136,58,1907.0,381.0,72,2.33,5,2,0.4
12635,2,1162,89,1509.0,755.0,95,0.66,2,0,0.0
12637,9,2974,67,5790.0,643.0,204,0.66,9,3,0.33
12638,1,573,33,512.0,512.0,38,0.0,1,0,0.0
12639,1,198,238,366.0,366.0,21,0.0,1,0,0.0
12640,3,301,23,995.0,332.0,46,1.16,3,0,0.0
12641,1,71,115,146.0,146.0,9,0.0,1,0,0.0
12642,3,546,25,905.0,302.0,38,1.91,3,0,0.0
12643,6,1788,128,3042.0,507.0,10,11.88,6,0,0.0
12644,1,325,129,478.0,478.0,31,0.0,1,0,0.0
12645,5,1064,33,1611.0,322.0,57,4.07,5,1,0.2
12646,2,897,4,1347.0,674.0,43,1.0,2,0,0.0
12647,13,1387,22,3094.0,238.0,77,2.98,13,6,0.46
12648,1,159,154,300.0,300.0,20,0.0,1,0,0.0
12649,4,571,107,550.0,138.0,29,8.57,4,2,0.5
12650,1,250,3,242.0,242.0,19,0.0,1,0,0.0
12651,1,78,334,114.0,114.0,9,0.0,1,0,0.0
12652,2,495,322,789.0,395.0,47,0.18,2,3,1.5
12653,2,919,148,2210.0,1105.0,37,3.5,2,0,0.0
12654,5,260,10,530.0,106.0,30,8.58,5,0,0.0
12656,8,1684,17,3551.0,444.0,88,1.78,8,4,0.5
12657,5,646,11,1008.0,202.0,34,1.29,5,8,1.6
12658,1,317,18,632.0,632.0,35,0.0,1,0,0.0
12659,1,104,29,74.0,74.0,4,0.0,1,0,0.0
12660,1,126,11,227.0,227.0,12,0.0,1,0,0.0
12662,12,2023,0,3511.0,293.0,128,1.67,12,2,0.17
12664,9,1188,8,4392.0,488.0,9,11.48,9,0,0.0
12665,2,35,324,44.0,22.0,2,3.0,2,1,0.5
12666,1,-56,359,-227.0,-227.0,2,0.0,1,2,2.0
12667,1,391,58,460.0,460.0,32,0.0,1,0,0.0
12668,6,1560,7,3113.0,519.0,114,2.13,6,7,1.17
12669,2,1104,150,1428.0,714.0,96,1.08,2,0,0.0
12670,6,1377,10,2734.0,456.0,57,2.5,6,2,0.33
12672,1,78,329,226.0,226.0,10,0.0,1,0,0.0
12673,2,349,5,575.0,288.0,41,8.03,2,0,0.0
12674,7,1096,11,1796.0,257.0,51,2.28,7,7,1.0
12676,6,664,24,1091.0,182.0,32,7.47,6,0,0.0
12678,10,10876,42,16291.0,1629.0,103,1.94,10,2,0.2
12679,9,521,52,897.0,100.0,44,4.45,9,8,0.89
12680,4,439,0,791.0,198.0,32,2.31,4,0,0.0
12681,26,7442,14,12310.0,473.0,266,0.55,26,7,0.27
12682,31,5485,3,11020.0,355.0,208,0.71,31,0,0.0
12683,19,4850,4,7357.0,387.0,176,1.02,19,18,0.95
12684,6,1973,7,2074.0,346.0,59,2.09,6,0,0.0
12685,6,1507,28,2575.0,429.0,116,0.42,6,0,0.0
12686,1,106,371,71.0,71.0,6,0.0,1,0,0.0
12688,1,3028,113,4874.0,4874.0,171,0.0,1,0,0.0
12689,2,622,25,1140.0,570.0,56,1.46,2,0,0.0
12690,1,103,205,335.0,335.0,15,0.0,1,0,0.0
12691,5,388,28,928.0,186.0,20,12.58,5,0,0.0
12693,6,242,120,687.0,115.0,34,5.44,6,2,0.33
12694,2,503,70,762.0,381.0,31,3.29,2,0,0.0
12695,4,220,7,582.0,146.0,23,7.73,4,0,0.0
12697,5,494,21,739.0,148.0,36,3.74,5,2,0.4
12700,4,2944,7,4526.0,1132.0,192,0.78,4,0,0.0
12701,2,674,79,726.0,363.0,49,3.24,2,0,0.0
12702,1,52,19,201.0,201.0,11,0.0,1,0,0.0
12703,2,160,64,257.0,129.0,20,0.35,2,1,0.5
12704,8,991,7,1741.0,218.0,63,1.97,8,0,0.0
12705,13,3946,15,6328.0,487.0,227,0.98,13,14,1.08
12707,1,256,291,603.0,603.0,33,0.0,1,0,0.0
12708,16,1255,29,2346.0,147.0,85,2.03,16,17,1.06
12709,26,3792,3,8960.0,345.0,101,1.41,26,48,1.85
12710,4,842,96,1005.0,251.0,74,1.37,4,2,0.5
12712,17,1019,22,3792.0,223.0,58,2.68,17,8,0.47
12713,1,505,0,795.0,795.0,37,0.0,1,0,0.0
12714,5,3046,9,4295.0,859.0,215,1.12,5,0,0.0
12715,1,190,106,263.0,263.0,19,0.0,1,0,0.0
12716,2,703,3,963.0,482.0,59,1.95,2,0,0.0
12717,2,502,151,831.0,416.0,48,1.81,2,0,0.0
12718,1,201,71,202.0,202.0,18,0.0,1,0,0.0
12719,3,357,5,536.0,179.0,33,1.51,3,3,1.0
12720,28,4618,2,5065.0,181.0,210,1.03,28,4,0.14
12721,7,1939,31,2359.0,337.0,133,2.11,7,3,0.43
12722,6,559,85,886.0,148.0,49,1.13,6,4,0.67
12723,5,433,3,707.0,141.0,52,0.9,5,0,0.0
12724,4,439,5,923.0,231.0,46,6.77,4,0,0.0
12725,1,162,371,372.0,372.0,23,0.0,1,0,0.0
12726,7,3132,28,2411.0,344.0,56,2.8,7,0,0.0
12727,8,2056,10,3426.0,428.0,108,2.32,8,1,0.13
12728,4,413,71,728.0,182.0,37,6.34,4,0,0.0
12729,1,231,113,417.0,417.0,25,0.0,1,0,0.0
12731,14,8359,23,18660.0,1333.0,108,1.23,14,2,0.14
12732,1,110,179,218.0,218.0,11,0.0,1,0,0.0
12733,1,137,234,384.0,384.0,22,0.0,1,0,0.0
12734,1,88,352,110.0,110.0,4,0.0,1,0,0.0
12735,2,363,315,690.0,345.0,37,0.53,2,0,0.0
12736,1,168,332,144.0,144.0,3,0.0,1,0,0.0
12738,1,147,372,137.0,137.0,10,0.0,1,0,0.0
12739,1,485,99,976.0,976.0,37,0.0,1,0,0.0
12740,1,342,63,428.0,428.0,27,0.0,1,0,0.0
12743,2,315,134,540.0,270.0,114,0.0,2,0,0.0
12744,4,5234,56,9120.0,2280.0,177,1.22,4,0,0.0
12747,11,1275,2,4196.0,381.0,42,3.56,11,0,0.0
12748,217,23516,0,29820.0,137.0,1767,0.07,217,43,0.2
12749,8,1421,3,3818.0,477.0,159,0.9,8,32,4.0
12750,1,137,128,276.0,276.0,15,0.0,1,0,0.0
12752,1,2262,81,4367.0,4367.0,53,0.0,1,0,0.0
12753,11,11250,3,21024.0,1911.0,132,1.55,11,33,3.0
12754,3,6481,235,3011.0,1004.0,49,1.16,3,0,0.0
12755,3,867,249,2221.0,740.0,4,28.75,3,1,0.33
12756,1,144,86,112.0,112.0,4,0.0,1,0,0.0
12757,10,2375,15,4162.0,416.0,235,0.53,10,1,0.1
12758,2,2135,116,2792.0,1396.0,84,1.66,2,0,0.0
12759,3,894,52,1411.0,470.0,80,2.45,3,0,0.0
12762,2,1220,7,1703.0,852.0,61,0.26,2,0,0.0
12763,2,316,138,494.0,247.0,16,13.53,2,0,0.0
12764,1,386,316,1694.0,1694.0,45,0.0,1,0,0.0
12766,7,3627,3,6458.0,923.0,204,1.18,7,0,0.0
12769,1,356,238,1144.0,1144.0,32,0.0,1,0,0.0
12770,1,743,210,1351.0,1351.0,12,0.0,1,0,0.0
12772,1,551,59,752.0,752.0,54,0.0,1,0,0.0
12775,6,846,17,1246.0,208.0,46,4.77,6,1,0.17
12778,6,817,19,693.0,116.0,39,6.74,6,0,0.0
12779,12,1996,21,3869.0,322.0,88,2.18,12,10,0.83
12781,4,592,21,672.0,168.0,24,9.67,4,4,1.0
12782,6,1056,4,1881.0,314.0,80,3.46,6,4,0.67
12783,4,611,2,1296.0,324.0,74,0.94,4,0,0.0
12784,1,278,15,477.0,477.0,53,0.0,1,0,0.0
12785,2,126,2,250.0,125.0,13,27.77,2,1,0.5
12787,3,258,9,419.0,140.0,16,11.37,3,0,0.0
12789,1,3,65,77.0,77.0,3,0.0,1,0,0.0
12790,1,164,192,295.0,295.0,20,0.0,1,0,0.0
12791,1,96,373,178.0,178.0,1,0.0,1,0,0.0
12792,1,215,256,345.0,345.0,24,0.0,1,0,0.0
12793,2,292,334,461.0,231.0,20,1.71,2,0,0.0
12794,2,592,53,860.0,430.0,43,1.02,2,0,0.0
12795,1,64,18,318.0,318.0,13,0.0,1,0,0.0
12797,3,78,360,166.0,55.0,12,0.33,3,4,1.33
12798,3,5256,10,6977.0,2326.0,6,22.86,3,0,0.0
12802,2,300,183,383.0,192.0,24,0.13,2,1,0.5
12808,3,187,36,456.0,152.0,26,12.73,3,0,0.0
12809,2,216,168,400.0,200.0,24,0.38,2,1,0.5
12811,2,227,261,459.0,230.0,26,0.81,2,0,0.0
12812,1,164,44,230.0,230.0,15,0.0,1,0,0.0
12814,1,48,101,86.0,86.0,1,0.0,1,0,0.0
12815,2,374,147,863.0,432.0,37,1.14,2,0,0.0
12816,2,125,95,452.0,226.0,26,3.08,2,0,0.0
12817,1,52,281,126.0,126.0,3,0.0,1,0,0.0
12818,2,914,178,1158.0,579.0,13,5.93,2,2,1.0
12820,4,722,3,942.0,236.0,55,5.55,4,0,0.0
12821,1,70,214,93.0,93.0,6,0.0,1,0,0.0
12822,3,548,70,919.0,306.0,41,0.35,3,1,0.33
12823,5,230,74,1760.0,352.0,1,55.0,5,0,0.0
12824,1,232,59,397.0,397.0,25,0.0,1,0,0.0
12826,8,1054,2,1468.0,184.0,58,3.85,8,3,0.38
12827,3,197,5,430.0,143.0,19,1.58,3,0,0.0
12828,6,494,2,1019.0,170.0,46,2.27,6,0,0.0
12829,3,375,322,253.0,84.0,9,3.36,3,1,0.33
12830,6,9848,37,6815.0,1136.0,13,3.54,6,0,0.0
12831,1,135,262,215.0,215.0,9,0.0,1,0,0.0
12832,2,195,32,383.0,192.0,27,2.5,2,0,0.0
12833,1,156,145,417.0,417.0,24,0.0,1,0,0.0
12834,1,110,282,312.0,312.0,18,0.0,1,0,0.0
12836,4,1062,59,2610.0,653.0,148,1.45,4,0,0.0
12837,1,24,173,134.0,134.0,12,0.0,1,0,0.0
12838,2,355,33,672.0,336.0,115,2.86,2,0,0.0
12839,15,3805,2,5588.0,373.0,95,1.15,15,1,0.07
12840,6,1505,143,2714.0,452.0,67,0.7,6,3,0.5
12841,26,2646,4,3846.0,148.0,230,0.82,26,19,0.73
12842,2,547,70,1119.0,560.0,34,7.21,2,0,0.0
12843,9,753,65,1681.0,187.0,69,1.81,9,5,0.56
12844,2,125,29,326.0,163.0,47,1.98,2,0,0.0
12845,4,204,267,354.0,89.0,26,0.85,4,0,0.0
12847,1,873,22,844.0,844.0,72,0.0,1,0,0.0
12849,2,579,31,993.0,497.0,46,5.27,2,0,0.0
12851,1,106,96,132.0,132.0,43,0.0,1,0,0.0
12852,2,145,290,300.0,150.0,17,0.21,2,3,1.5
12853,9,782,107,1882.0,209.0,66,2.46,9,6,0.67
12854,5,621,78,1281.0,256.0,97,2.11,5,5,1.0
12855,1,30,372,38.0,38.0,3,0.0,1,0,0.0
12856,8,1073,7,2154.0,269.0,155,0.17,8,3,0.38
12857,2,343,210,1106.0,553.0,37,2.02,2,0,0.0
12863,2,186,52,504.0,252.0,5,29.2,2,1,0.5
12864,1,216,138,147.0,147.0,3,0.0,1,0,0.0
12865,3,877,26,1548.0,516.0,87,3.49,3,1,0.33
12866,1,167,283,499.0,499.0,25,0.0,1,0,0.0
12867,10,4261,26,3963.0,396.0,240,0.61,10,12,1.2
12868,6,928,185,1607.0,268.0,72,1.75,6,0,0.0
12870,1,-2,366,-15.0,-15.0,2,0.0,1,2,2.0
12871,2,200,84,381.0,191.0,8,12.3,2,0,0.0
12872,2,319,326,600.0,300.0,58,0.58,2,0,0.0
12873,1,128,282,374.0,374.0,4,0.0,1,0,0.0
12875,2,2019,143,343.0,172.0,1,219.0,2,0,0.0
12876,2,1930,57,2053.0,1027.0,66,1.68,2,0,0.0
12877,12,1178,3,1536.0,128.0,100,2.27,12,0,0.0
12878,3,536,18,842.0,281.0,38,5.15,3,2,0.67
12879,4,363,44,553.0,138.0,7,4.18,4,2,0.5
12881,1,21,275,298.0,298.0,7,0.0,1,0,0.0
12882,2,246,9,1463.0,732.0,12,2.0,2,0,0.0
12883,4,196,24,703.0,176.0,39,1.56,4,0,0.0
12884,1,43,88,309.0,309.0,7,0.0,1,0,0.0
12885,4,654,63,1158.0,290.0,66,0.85,4,1,0.25
12886,3,761,67,1351.0,450.0,75,1.78,3,4,1.33
12888,4,68,214,314.0,79.0,4,6.5,4,2,0.5
12890,1,256,24,377.0,377.0,78,0.0,1,0,0.0
12891,3,950,185,331.0,110.0,2,53.5,3,0,0.0
12893,1,90,30,177.0,177.0,27,0.0,1,0,0.0
12895,3,204,42,347.0,116.0,22,1.91,3,2,0.67
12897,2,110,204,217.0,109.0,3,32.33,2,0,0.0
12901,34,21299,8,16316.0,480.0,30,2.03,34,7,0.21
